cycle,soh_A,ri_A,temp_A,curr_A,soh_B,ri_B,temp_B,curr_B
115,78.20078345769694,0.10615905985076367,33.492724788061096,2.0,81.64228661009595,0.10202925606788486,27.040585121357697,1.0
116,77.99925329973156,0.10640089604032213,33.51207168322577,2.0,81.50269699293092,0.1021967636084829,27.04393527216966,1.0
117,77.79753741157259,0.1066429551061129,33.53143640848903,2.0,81.36307521431809,0.1023643097428183,27.047286194856365,1.0
118,77.59563562205109,0.1068852372535387,33.5508189802831,2.0,81.22342126684747,0.10253189447978305,27.05063788959566,1.0
119,77.39354775984037,0.10712774268819156,33.57021941505533,2.0,81.08373514310735,0.10269951782827118,27.053990356565425,1.0
120,77.19127365345584,0.10737047161585299,33.58963772926824,2.0,80.94401683568432,0.10286717979717881,27.057343595943575,1.0
121,76.98881313125486,0.10761342424249418,33.609073939399536,2.0,80.80426633716327,0.10303488039540408,27.060697607908082,1.0
122,76.78616602143663,0.10785660077427604,33.628528061942085,2.0,80.66448364012736,0.10320261963184717,27.064052392636942,1.0
123,76.58333215204199,0.10810000141754962,33.64800011340397,2.0,80.52466873715804,0.10337039751541034,27.06740795030821,1.0
124,76.3803113509533,0.10834362637885603,33.66749011030848,2.0,80.38482162083508,0.1035382140549979,27.070764281099958,1.0
125,76.17710344589435,0.1085874758649268,33.686998069194146,2.0,80.24494228373652,0.10370606925951618,27.074121385190324,1.0
126,75.97370826443009,0.10883155008268389,33.706524006614714,2.0,80.1050307184387,0.10387396313787356,27.07747926275747,1.0
127,75.77012563396659,0.10907584923924009,33.726067939139206,2.0,79.96508691751623,0.10404189569898051,27.08083791397961,1.0
128,75.56635538175085,0.10932037354189898,33.74562988335192,2.0,79.82511087354203,0.10420986695174957,27.08419733903499,1.0
129,75.36239733487068,0.10956512319815519,33.76520985585242,2.0,79.6851025790873,0.10437787690509524,27.087557538101905,1.0
130,75.1582513202545,0.1098100984156946,33.784807873255566,2.0,79.54506202672152,0.10454592556793417,27.090918511358684,1.0
131,74.95391716467124,0.11005529940239452,33.80442395219156,2.0,79.40498920901248,0.10471401294918503,27.0942802589837,1.0
132,74.7493946947302,0.11030072636632376,33.8240581093059,2.0,79.26488411852624,0.10488213905776851,27.097642781155372,1.0
133,74.54468373688086,0.11054637951574296,33.84371036125944,2.0,79.12474674782715,0.10505030390260743,27.101006078052148,1.0
134,74.33978411741276,0.1107922590591047,33.86338072472837,2.0,78.98457708947785,0.10521850749262658,27.10437014985253,1.0
135,74.13469566245537,0.11103836520505356,33.88306921640428,2.0,78.84437513603928,0.10538674983675288,27.107734996735058,1.0
136,73.9294181979779,0.11128469816242653,33.902775852994125,2.0,78.70414088007063,0.10555503094391526,27.111100618878304,1.0
137,73.72395154978915,0.11153125814025301,33.92250065122024,2.0,78.5638743141294,0.10572335082304474,27.114467016460896,1.0
138,73.51829554353743,0.11177804534775508,33.9422436278204,2.0,78.42357543077136,0.10589170948307437,27.117834189661487,1.0
139,73.31245000471036,0.11202505999434757,33.962004799547806,2.0,78.28324422255062,0.10606010693293925,27.121202138658784,1.0
140,73.1064147586347,0.11227230228963837,33.98178418317107,2.0,78.1428806820195,0.10622854318157661,27.124570863631533,1.0
141,72.90018963047626,0.11251977244342848,34.00158179547428,2.0,78.00248480172863,0.10639701823792563,27.127940364758512,1.0
142,72.69377444523971,0.11276747066571234,34.02139765325698,2.0,77.86205657422694,0.10656553211092767,27.131310642218555,1.0
143,72.48716902776845,0.11301539716667787,34.04123177333423,2.0,77.72159599206164,0.10673408480952602,27.13468169619052,1.0
144,72.28037320274444,0.11326355215670666,34.06108417253653,2.0,77.58110304777821,0.10690267634266615,27.138053526853323,1.0
145,72.07338679468809,0.11351193584637428,34.08095486770994,2.0,77.44057773392042,0.1070713067192955,27.14142613438591,1.0
146,71.86620962795807,0.11376054844645031,34.10084387571602,2.0,77.30002004303032,0.10723997594836363,27.14479951896727,1.0
147,71.6588415267512,0.11400939016789856,34.12075121343189,2.0,77.15942996764824,0.10740868403882212,27.14817368077644,1.0
148,71.45128231510226,0.11425846122187729,34.14067689775018,2.0,77.01880750031279,0.10757743099962465,27.151548619992493,1.0
